推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
贰子小脑斧,海边的Liam,建筑,B站,https://space.bilibili.com/598257922/,,2021.7.6
琰の紅蓮,hero3046,日语,B站,https://space.bilibili.com/65988295,讲的挺好,推荐他的一个文法查询的Excel,去他qq群看公告里有,具体是什么东西看这个视频https://www.bilibili.com/video/av26959498,2021.8.3
Wu F.E.3的,古城算法,计算机算法,B站,https://b23.tv/i0z93Q,数据结构和算法，讲得很好,2021.8.21
,老师好我叫何同学,数码区up主,B站,B站,95后北邮大学生数码区天花板,2021.8.21
,義北偏北,文史哲,B站,https://b23.tv/uUu6ZB,上传文史哲类公开课,2021.8.21
,coachshane,英语学习,B站,https://space.bilibili.com/473051410?spm_id_from=333.788.b_765f7570696e666f.1,学习英语daily diction 必看,讲课生动有趣,口技大师,表演家,三观很正,2022.10.22
于阳阳阳阳,沈逸老师,B站,国际关系，网络空间安全治理,https://space.bilibili.com/648113003,真的强烈推荐，干货多且有长难句,
彼得-施特拉塞,一点创绘工作室,B站,机械类大学生技能竞赛的讲解、Solidworks教程,致力于大学生个人成长与技能竞赛,本人就是看他的视频并且参加的技能竞赛，学习到很多使用技巧，建议机械专业的大学生看一下,
CNtei,Yoloidea,B站,人文,https://space.bilibili.com/391624812/,不出名的人文Up，精神荒原在下沉,我们依旧在狂欢. 搞不好以后会是个厨子 常居成都,
CNtei,男闺蜜kz,B站,情感,https://space.bilibili.com/1021770972/,情感区搞笑up主,
CNtei,乐有为医生,B站,性健康,https://space.bilibili.com/1103272707/,第五届中国十大男性健康科普专家 关注我，做快乐男人！,
CNtei,心理满,B站,心理,https://space.bilibili.com/304207312,,
CNtei,科普中国,B站,科普,https://space.bilibili.com/92601724,让科技知识在生活中流行,
彼得-施特拉塞,军武志,B站,军事科普,无用的知识增加了,的确是知识增加了,
CNtei,刘少伟教授,B站,食品安全,https://space.bilibili.com/515059146,美国宾夕法尼亚州立大学食品安全博士，美国堪萨斯州立大学博士后,
CNtei,音樂家的無聊人生,B站,音乐,https://space.bilibili.com/1794321502,這個頻道跟你分享如何體驗音樂，讓你跟音樂不再有距離!,
CNtei,科普中国官方平台,B站,科普,https://space.bilibili.com/652531714,中国科协官方账号,
彼得-施特拉塞,痞仔伯爵,B站,实用的软、硬件知识,专注数码推荐、测评，分享有趣实用的软、硬件知识；商务V：dmwll-1234,风趣幽默地评测、分享各种有趣实用的软、硬件知识，以及一些电脑数码推荐、测评。讲的啥虽然会忘掉，但风趣幽默的话语我绝对忘不了。,
CNtei,-阿健-,B站,性学等,https://space.bilibili.com/18690024,把困在脑子里的想法救出来,
CNtei,北师大刘文利,B站,性教育,https://space.bilibili.com/1535016452,北京师范大学教授、儿童性教育专家,
CNtei,歐麗娟,B站,文学,https://space.bilibili.com/1867363969,台湾大学中文系教授,
